Solar Installed ,944.880 kWp,,,
,,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
09/01/2025 00:30:00,0,74,0,23
09/01/2025 01:00:00,0,74,0,22
09/01/2025 01:30:00,0,73,0,21
09/01/2025 02:00:00,0,75,0,24
09/01/2025 02:30:00,0,75,0,23
09/01/2025 03:00:00,0,74,0,23
09/01/2025 03:30:00,0,75,0,25
09/01/2025 04:00:00,0,74,0,24
09/01/2025 04:30:00,0,74,0,23
09/01/2025 05:00:00,0,75,0,23
09/01/2025 05:30:00,0,74,0,25
09/01/2025 06:00:00,0,74,0,23
09/01/2025 06:30:00,0,73,0,23
09/01/2025 07:00:00,0,72,0,23
09/01/2025 07:30:00,0,70,0,22
09/01/2025 08:00:00,0,69,0,22
09/01/2025 08:30:00,0,70,0,23
09/01/2025 09:00:00,0,67,0,19
09/01/2025 09:30:00,0,67,0,20
09/01/2025 10:00:00,0,67,0,19
09/01/2025 10:30:00,0,66,0,19
09/01/2025 11:00:00,0,69,0,19
09/01/2025 11:30:00,0,65,0,20
09/01/2025 12:00:00,0,66,0,18
09/01/2025 12:30:00,0,68,0,20
09/01/2025 13:00:00,0,68,0,20
09/01/2025 13:30:00,0,65,0,19
09/01/2025 14:00:00,0,67,0,19
09/01/2025 14:30:00,0,67,0,19
09/01/2025 15:00:00,0,67,0,20
09/01/2025 15:30:00,0,65,0,18
09/01/2025 16:00:00,0,68,0,19
09/01/2025 16:30:00,0,69,0,20
09/01/2025 17:00:00,0,68,0,21
09/01/2025 17:30:00,0,69,0,22
09/01/2025 18:00:00,0,68,0,20
09/01/2025 18:30:00,0,70,0,22
09/01/2025 19:00:00,0,68,0,19
09/01/2025 19:30:00,0,70,0,19
09/01/2025 20:00:00,0,69,0,17
09/01/2025 20:30:00,0,73,0,19
09/01/2025 21:00:00,0,72,0,19
09/01/2025 21:30:00,0,71,0,19
09/01/2025 22:00:00,0,75,0,20
09/01/2025 22:30:00,0,74,0,21
09/01/2025 23:00:00,0,73,0,20
09/01/2025 23:30:00,0,72,0,18
09/02/2025 00:00:00,0,75,0,21
09/02/2025 00:30:00,0,85,0,21
09/02/2025 01:00:00,0,86,0,20
09/02/2025 01:30:00,0,82,0,21
09/02/2025 02:00:00,0,83,0,21
09/02/2025 02:30:00,0,85,0,22
09/02/2025 03:00:00,0,86,0,21
09/02/2025 03:30:00,0,88,0,22
09/02/2025 04:00:00,0,88,0,22
09/02/2025 04:30:00,0,85,0,21
09/02/2025 05:00:00,0,80,0,20
09/02/2025 05:30:00,0,78,0,21
09/02/2025 06:00:00,0,79,0,19
09/02/2025 06:30:00,0,132,0,43
09/02/2025 07:00:00,0,214,0,83
09/02/2025 07:30:00,0,349,0,168
09/02/2025 08:00:00,0,536,0,206
09/02/2025 08:30:00,0,771,0,269
09/02/2025 09:00:00,0,878,0,296
09/02/2025 09:30:00,0,913,0,305
09/02/2025 10:00:00,0,879,0,304
09/02/2025 10:30:00,0,880,0,300
09/02/2025 11:00:00,0,882,0,299
09/02/2025 11:30:00,0,895,0,303
09/02/2025 12:00:00,0,836,0,275
09/02/2025 12:30:00,0,849,0,291
09/02/2025 13:00:00,0,868,0,300
09/02/2025 13:30:00,0,857,0,298
09/02/2025 14:00:00,0,862,0,293
09/02/2025 14:30:00,0,902,0,313
09/02/2025 15:00:00,0,890,0,312
09/02/2025 15:30:00,0,891,0,306
09/02/2025 16:00:00,0,886,0,304
09/02/2025 16:30:00,0,822,0,274
09/02/2025 17:00:00,0,859,0,290
09/02/2025 17:30:00,0,867,0,300
09/02/2025 18:00:00,0,865,0,298
09/02/2025 18:30:00,0,870,0,300
09/02/2025 19:00:00,0,829,0,280
09/02/2025 19:30:00,0,834,0,272
09/02/2025 20:00:00,0,772,0,245
09/02/2025 20:30:00,0,720,0,216
09/02/2025 21:00:00,0,707,0,214
09/02/2025 21:30:00,0,690,0,208
09/02/2025 22:00:00,0,690,0,214
09/02/2025 22:30:00,0,680,0,204
09/02/2025 23:00:00,0,689,0,211
09/02/2025 23:30:00,0,691,0,214
09/03/2025 00:00:00,0,692,0,223
09/03/2025 00:30:00,0,664,0,196
09/03/2025 01:00:00,0,668,0,197
09/03/2025 01:30:00,0,713,0,213
09/03/2025 02:00:00,0,684,0,208
09/03/2025 02:30:00,0,674,0,208
09/03/2025 03:00:00,0,676,0,202
09/03/2025 03:30:00,0,668,0,198
09/03/2025 04:00:00,0,676,0,204
09/03/2025 04:30:00,0,666,0,205
09/03/2025 05:30:00,0,649,0,197
09/03/2025 06:00:00,0,647,0,197
09/03/2025 06:30:00,0,621,0,190
09/03/2025 07:00:00,0,638,0,188
09/03/2025 07:30:00,0,677,0,212
09/03/2025 08:00:00,0,727,0,246
09/03/2025 09:00:00,0,836,0,347
09/03/2025 09:30:00,0,865,0,366
09/03/2025 10:00:00,0,876,0,322
09/03/2025 10:30:00,0,885,0,329
09/03/2025 11:00:00,0,890,0,325
09/03/2025 11:30:00,0,862,0,317
09/03/2025 12:00:00,0,858,0,320
09/03/2025 12:30:00,0,883,0,321
09/03/2025 13:00:00,0,886,0,300
09/03/2025 13:30:00,0,866,0,286
09/03/2025 14:00:00,0,892,0,290
09/03/2025 14:30:00,0,896,0,285
09/03/2025 15:00:00,0,875,0,277
09/03/2025 15:30:00,0,855,0,267
09/03/2025 16:00:00,0,888,0,287
09/03/2025 16:30:00,0,867,0,276
09/03/2025 17:00:00,0,881,0,285
09/03/2025 17:30:00,0,885,0,282
09/03/2025 18:00:00,0,880,0,274
09/03/2025 18:30:00,0,847,0,263
09/03/2025 19:30:00,0,785,0,249
09/03/2025 20:00:00,0,747,0,241
09/03/2025 20:30:00,0,671,0,197
09/03/2025 21:00:00,0,671,0,197
09/03/2025 21:30:00,0,668,0,190
09/03/2025 22:00:00,0,646,0,183
09/03/2025 23:00:00,0,649,0,184
09/03/2025 23:30:00,0,637,0,183
09/04/2025 00:00:00,0,637,0,175
09/04/2025 00:30:00,0,620,0,163
09/04/2025 01:00:00,0,639,0,170
09/04/2025 01:30:00,0,651,0,176
09/04/2025 02:00:00,0,637,0,170
09/04/2025 02:30:00,0,634,0,170
09/04/2025 03:00:00,0,644,0,171
09/04/2025 03:30:00,0,644,0,173
09/04/2025 04:00:00,0,630,0,172
09/04/2025 04:30:00,0,642,0,178
09/04/2025 05:00:00,0,625,0,174
09/04/2025 05:30:00,0,624,0,170
09/04/2025 06:00:00,0,637,0,177
09/04/2025 06:30:00,0,593,0,158
09/04/2025 07:00:00,0,616,0,160
09/04/2025 07:30:00,0,674,0,192
09/04/2025 08:00:00,0,661,0,203
09/04/2025 08:30:00,0,746,0,217
09/04/2025 09:00:00,0,789,0,248
09/04/2025 09:30:00,0,815,0,271
09/04/2025 10:00:00,0,808,0,310
09/04/2025 10:30:00,0,829,0,285
09/04/2025 11:00:00,0,817,0,269
09/04/2025 11:30:00,0,802,0,259
09/04/2025 12:00:00,0,747,0,231
09/04/2025 12:30:00,0,771,0,251
09/04/2025 13:00:00,0,765,0,262
09/04/2025 13:30:00,0,754,0,255
09/04/2025 14:00:00,0,809,0,276
09/04/2025 14:30:00,0,825,0,278
09/04/2025 15:00:00,0,811,0,264
09/04/2025 15:30:00,0,800,0,270
09/04/2025 16:00:00,0,811,0,275
09/04/2025 16:30:00,0,766,0,252
